0 1 2 3 4 5 1 2 3 4 5 6 2 3 4 5 6 7 3 4 5 6 7 8 4 5 6 7 8 9
1 0 1 2 3 4 2 1 2 3 4 5 3 2 3 4 5 6 4 3 4 5 6 7 5 4 5 6 7 8
2 1 0 1 2 3 3 2 1 2 3 4 4 3 2 3 4 5 5 4 3 4 5 6 6 5 4 5 6 7
3 2 1 0 1 2 4 3 2 1 2 3 5 4 3 2 3 4 6 5 4 3 4 5 7 6 5 4 5 6
4 3 2 1 0 1 5 4 3 2 1 2 6 5 4 3 2 3 7 6 5 4 3 4 8 7 6 5 4 5
5 4 3 2 1 0 6 5 4 3 2 1 7 6 5 4 3 2 8 7 6 5 4 3 9 8 7 6 5 4
1 2 3 4 5 6 0 1 2 3 4 5 1 2 3 4 5 6 2 3 4 5 6 7 3 4 5 6 7 8
2 1 2 3 4 5 1 0 1 2 3 4 2 1 2 3 4 5 3 2 3 4 5 6 4 3 4 5 6 7
3 2 1 2 3 4 2 1 0 1 2 3 3 2 1 2 3 4 4 3 2 3 4 5 5 4 3 4 5 6
4 3 2 1 2 3 3 2 1 0 1 2 4 3 2 1 2 3 5 4 3 2 3 4 6 5 4 3 4 5
5 4 3 2 1 2 4 3 2 1 0 1 5 4 3 2 1 2 6 5 4 3 2 3 7 6 5 4 3 4
6 5 4 3 2 1 5 4 3 2 1 0 6 5 4 3 2 1 7 6 5 4 3 2 8 7 6 5 4 3
2 3 4 5 6 7 1 2 3 4 5 6 0 1 2 3 4 5 1 2 3 4 5 6 2 3 4 5 6 7
3 2 3 4 5 6 2 1 2 3 4 5 1 0 1 2 3 4 2 1 2 3 4 5 3 2 3 4 5 6
4 3 2 3 4 5 3 2 1 2 3 4 2 1 0 1 2 3 3 2 1 2 3 4 4 3 2 3 4 5
5 4 3 2 3 4 4 3 2 1 2 3 3 2 1 0 1 2 4 3 2 1 2 3 5 4 3 2 3 4
6 5 4 3 2 3 5 4 3 2 1 2 4 3 2 1 0 1 5 4 3 2 1 2 6 5 4 3 2 3
7 6 5 4 3 2 6 5 4 3 2 1 5 4 3 2 1 0 6 5 4 3 2 1 7 6 5 4 3 2
3 4 5 6 7 8 2 3 4 5 6 7 1 2 3 4 5 6 0 1 2 3 4 5 1 2 3 4 5 6
4 3 4 5 6 7 3 2 3 4 5 6 2 1 2 3 4 5 1 0 1 2 3 4 2 1 2 3 4 5
5 4 3 4 5 6 4 3 2 3 4 5 3 2 1 2 3 4 2 1 0 1 2 3 3 2 1 2 3 4
6 5 4 3 4 5 5 4 3 2 3 4 4 3 2 1 2 3 3 2 1 0 1 2 4 3 2 1 2 3
7 6 5 4 3 4 6 5 4 3 2 3 5 4 3 2 1 2 4 3 2 1 0 1 5 4 3 2 1 2
8 7 6 5 4 3 7 6 5 4 3 2 6 5 4 3 2 1 5 4 3 2 1 0 6 5 4 3 2 1
4 5 6 7 8 9 3 4 5 6 7 8 2 3 4 5 6 7 1 2 3 4 5 6 0 1 2 3 4 5
5 4 5 6 7 8 4 3 4 5 6 7 3 2 3 4 5 6 2 1 2 3 4 5 1 0 1 2 3 4
6 5 4 5 6 7 5 4 3 4 5 6 4 3 2 3 4 5 3 2 1 2 3 4 2 1 0 1 2 3
7 6 5 4 5 6 6 5 4 3 4 5 5 4 3 2 3 4 4 3 2 1 2 3 3 2 1 0 1 2
8 7 6 5 4 5 7 6 5 4 3 4 6 5 4 3 2 3 5 4 3 2 1 2 4 3 2 1 0 1
9 8 7 6 5 4 8 7 6 5 4 3 7 6 5 4 3 2 6 5 4 3 2 1 5 4 3 2 1 0
